ticker,entry_date,exit_date,entry_price,exit_price,return_pct,pnl_eur,reason
AAPL,2020-05-18,2020-06-05,75.80,79.15,4.27,42.68,TP
AAPL,2020-06-16,2020-07-08,85.07,91.87,7.84,78.40,TP
AAPL,2020-07-15,2020-07-23,95.84,89.90,-6.36,-63.58,OB_Inv
AAPL,2020-08-13,2020-08-24,110.99,121.74,9.53,95.33,TP
AAPL,2020-09-01,2020-09-03,128.77,117.25,-9.10,-90.98,OB_Inv
AAPL,2020-10-21,2020-10-28,113.17,107.86,-4.84,-48.38,OB_Inv
AAPL,2020-12-22,2021-01-04,127.88,123.32,-3.72,-37.18,SL
AAPL,2021-01-06,2021-01-06,124.10,127.22,2.36,23.62,TP
AAPL,2021-01-08,2021-01-25,128.68,140.95,9.39,93.87,TP
AAPL,2021-02-19,2021-02-22,126.74,122.61,-3.41,-34.06,OB_Inv
AAPL,2021-04-22,2021-05-04,129.46,124.41,-4.05,-40.51,OB_Inv
AAPL,2021-06-18,2021-06-21,127.41,126.54,-0.83,-8.32,SL
AAPL,2021-06-22,2021-06-30,128.79,133.32,3.37,33.68,TP
AAPL,2021-07-14,2021-07-19,144.36,138.85,-3.96,-39.65,OB_Inv
AAPL,2021-07-21,2021-08-30,141.86,148.70,4.67,46.73,TP
AAPL,2021-08-31,2021-09-14,149.03,144.86,-2.95,-29.47,SL
AAPL,2021-12-13,2021-12-14,177.07,170.43,-3.90,-38.99,OB_Inv
AAPL,2021-12-16,2021-12-16,175.27,169.68,-3.34,-33.39,SL
AAPL,2022-07-20,2022-07-29,148.15,157.32,6.04,60.41,TP
AAPL,2022-09-02,2022-09-08,156.82,150.51,-4.18,-41.78,SL
AAPL,2022-09-12,2022-09-13,156.67,151.02,-3.75,-37.53,OB_Inv
AAPL,2022-09-15,2022-09-15,151.82,150.43,-1.06,-10.61,SL
AAPL,2022-10-31,2022-11-03,150.35,136.34,-9.47,-94.74,OB_Inv
AAPL,2023-02-08,2023-02-09,151.31,148.35,-2.11,-21.06,OB_Inv
AAPL,2023-03-21,2023-03-31,154.93,160.54,3.47,34.73,TP
